primary_key,source_file,update_date,update_type,snapshot_date,data_column1,data_column2,data_column3,etl_run_timestamp
1,FileA,2023-12-14,INSERT,2023-12-31,C,95,2023-02-09,2024-01-02 09:00:00
2,FileA,2023-10-03,INSERT,2023-12-31,C,34,2023-11-27,2024-01-02 09:00:00
3,FileA,2023-07-14,INSERT,2023-12-31,A,70,2023-05-26,2024-01-02 09:00:00
4,FileA,2023-07-22,INSERT,2023-12-31,B,59,2023-01-13,2024-01-02 09:00:00
5,FileA,2023-01-02,INSERT,2023-12-31,A,6,2023-08-31,2024-01-02 09:00:00
6,FileA,2023-12-02,INSERT,2023-12-31,A,45,2023-07-23,2024-01-02 09:00:00
7,FileA,2023-01-29,INSERT,2023-12-31,B,96,2023-03-07,2024-01-02 09:00:00
8,FileA,2023-10-27,INSERT,2023-12-31,B,78,2023-01-30,2024-01-02 09:00:00
9,FileA,2023-03-12,INSERT,2023-12-31,C,87,2023-12-08,2024-01-02 09:00:00
10,FileA,2023-04-26,INSERT,2023-12-31,A,13,2023-05-20,2024-01-02 09:00:00
11,FileA,2023-07-10,INSERT,2023-12-31,C,66,2023-07-26,2024-01-02 09:00:00
12,FileA,2023-07-09,INSERT,2023-12-31,C,83,2023-07-05,2024-01-02 09:00:00
13,FileA,2023-12-11,INSERT,2023-12-31,B,85,2023-04-04,2024-01-02 09:00:00
14,FileA,2023-02-25,INSERT,2023-12-31,A,67,2023-06-29,2024-01-02 09:00:00
15,FileA,2023-05-30,INSERT,2023-12-31,A,36,2023-04-27,2024-01-02 09:00:00
16,FileA,2023-07-12,INSERT,2023-12-31,C,9,2023-01-14,2024-01-02 09:00:00
17,FileA,2023-12-06,INSERT,2023-12-31,A,60,2023-12-18,2024-01-02 09:00:00
18,FileA,2023-02-24,INSERT,2023-12-31,A,10,2023-10-08,2024-01-02 09:00:00
19,FileA,2023-03-18,INSERT,2023-12-31,C,78,2023-01-29,2024-01-02 09:00:00
20,FileA,2023-10-15,INSERT,2023-12-31,A,37,2023-07-25,2024-01-02 09:00:00
21,FileA,2023-08-16,INSERT,2023-12-31,A,57,2023-10-07,2024-01-02 09:00:00
22,FileA,2023-06-25,INSERT,2023-12-31,A,66,2023-12-10,2024-01-02 09:00:00
23,FileA,2023-03-23,INSERT,2023-12-31,A,20,2023-09-13,2024-01-02 09:00:00
24,FileA,2023-06-04,INSERT,2023-12-31,C,56,2023-11-03,2024-01-02 09:00:00
25,FileA,2023-01-16,INSERT,2023-12-31,C,59,2023-06-08,2024-01-02 09:00:00
26,FileA,2023-03-05,INSERT,2023-12-31,C,75,2023-04-25,2024-01-02 09:00:00
27,FileA,2023-08-12,INSERT,2023-12-31,C,35,2023-08-31,2024-01-02 09:00:00
28,FileA,2023-06-17,INSERT,2023-12-31,A,48,2023-04-03,2024-01-02 09:00:00
29,FileA,2023-12-21,INSERT,2023-12-31,C,74,2023-05-30,2024-01-02 09:00:00
30,FileA,2023-08-21,INSERT,2023-12-31,C,66,2023-02-27,2024-01-02 09:00:00
31,FileA,2023-11-18,INSERT,2023-12-31,B,43,2023-03-18,2024-01-02 09:00:00
32,FileA,2023-02-15,INSERT,2023-12-31,C,10,2023-09-22,2024-01-02 09:00:00
33,FileA,2023-06-20,INSERT,2023-12-31,C,67,2023-08-01,2024-01-02 09:00:00
34,FileA,2023-02-20,INSERT,2023-12-31,C,38,2023-01-28,2024-01-02 09:00:00
35,FileA,2023-07-21,INSERT,2023-12-31,C,10,2023-06-22,2024-01-02 09:00:00
36,FileA,2023-04-02,INSERT,2023-12-31,C,77,2023-11-10,2024-01-02 09:00:00
37,FileA,2023-10-10,INSERT,2023-12-31,A,19,2023-05-01,2024-01-02 09:00:00
38,FileA,2023-05-17,INSERT,2023-12-31,A,84,2023-02-06,2024-01-02 09:00:00
39,FileA,2023-06-07,INSERT,2023-12-31,C,53,2023-05-05,2024-01-02 09:00:00
40,FileA,2023-08-24,INSERT,2023-12-31,B,99,2023-01-26,2024-01-02 09:00:00
41,FileA,2023-01-27,INSERT,2023-12-31,B,45,2023-03-13,2024-01-02 09:00:00
42,FileA,2023-03-25,INSERT,2023-12-31,A,33,2023-04-30,2024-01-02 09:00:00
43,FileA,2023-02-18,INSERT,2023-12-31,C,80,2023-12-08,2024-01-02 09:00:00
44,FileA,2023-12-12,INSERT,2023-12-31,B,46,2023-10-05,2024-01-02 09:00:00
45,FileA,2023-04-05,INSERT,2023-12-31,B,48,2023-03-18,2024-01-02 09:00:00
46,FileA,2023-07-22,INSERT,2023-12-31,C,64,2023-07-06,2024-01-02 09:00:00
47,FileA,2023-08-02,INSERT,2023-12-31,C,80,2023-06-06,2024-01-02 09:00:00
48,FileA,2023-02-01,INSERT,2023-12-31,B,29,2023-12-17,2024-01-02 09:00:00
49,FileA,2023-04-18,INSERT,2023-12-31,A,49,2023-02-23,2024-01-02 09:00:00
50,FileA,2023-08-06,INSERT,2023-12-31,A,48,2023-03-18,2024-01-02 09:00:00
2,FileB,2024-01-11,UPDATE,2024-01-31,C,34,2023-11-27,2024-02-02 09:00:00
5,FileB,2024-01-08,UPDATE,2024-01-31,A,65,2024-01-05,2024-02-02 09:00:00
22,FileB,2024-01-20,UPDATE,2024-01-31,A,66,2023-12-29,2024-02-02 09:00:00
49,FileB,2024-01-27,UPDATE,2024-01-31,A,49,2024-01-07,2024-02-02 09:00:00
3,FileB,2024-01-12,UPDATE,2024-01-31,A,85,2023-05-26,2024-02-02 09:00:00
38,FileB,2024-01-24,UPDATE,2024-01-31,A,84,2024-01-05,2024-02-02 09:00:00
16,FileB,2024-01-20,UPDATE,2024-01-31,C,97,2024-01-09,2024-02-02 09:00:00
34,FileB,2024-01-26,UPDATE,2024-01-31,C,37,2024-01-12,2024-02-02 09:00:00
37,FileB,2024-01-10,UPDATE,2024-01-31,B,19,2024-01-02,2024-02-02 09:00:00
43,FileB,2024-01-09,UPDATE,2024-01-31,A,78,2024-01-02,2024-02-02 09:00:00
51,FileB,2024-01-08,INSERT,2024-01-31,B,84,2023-12-29,2024-02-02 09:00:00
52,FileB,2024-01-02,INSERT,2024-01-31,A,96,2023-12-25,2024-02-02 09:00:00
53,FileB,2024-01-11,INSERT,2024-01-31,A,1,2024-01-28,2024-02-02 09:00:00
54,FileB,2024-01-12,INSERT,2024-01-31,A,99,2024-01-04,2024-02-02 09:00:00
55,FileB,2024-01-13,INSERT,2024-01-31,C,67,2023-12-17,2024-02-02 09:00:00
56,FileB,2024-01-10,INSERT,2024-01-31,A,84,2024-01-16,2024-02-02 09:00:00
57,FileB,2024-01-30,INSERT,2024-01-31,A,64,2023-12-13,2024-02-02 09:00:00
58,FileB,2024-01-10,INSERT,2024-01-31,A,50,2023-12-24,2024-02-02 09:00:00
59,FileB,2024-01-28,INSERT,2024-01-31,A,41,2024-01-14,2024-02-02 09:00:00
60,FileB,2024-01-20,INSERT,2024-01-31,A,67,2024-01-02,2024-02-02 09:00:00
17,FileC,2024-02-09,UPDATE,2024-02-29,C,79,2024-01-22,2024-03-02 09:00:00
54,FileC,2024-02-12,UPDATE,2024-02-29,A,80,2024-01-04,2024-03-02 09:00:00
42,FileC,2024-02-02,UPDATE,2024-02-29,A,60,2024-01-18,2024-03-02 09:00:00
40,FileC,2024-02-19,UPDATE,2024-02-29,A,46,2024-01-24,2024-03-02 09:00:00
50,FileC,2024-02-01,UPDATE,2024-02-29,A,48,2023-03-18,2024-03-02 09:00:00
13,FileC,2024-02-15,UPDATE,2024-02-29,C,9,2024-02-11,2024-03-02 09:00:00
9,FileC,2024-02-05,UPDATE,2024-02-29,C,4,2023-12-08,2024-03-02 09:00:00
18,FileC,2024-02-09,UPDATE,2024-02-29,C,61,2023-10-08,2024-03-02 09:00:00
52,FileC,2024-02-27,UPDATE,2024-02-29,C,74,2024-02-26,2024-03-02 09:00:00
47,FileC,2024-02-22,UPDATE,2024-02-29,A,6,2024-02-13,2024-03-02 09:00:00
61,FileC,2024-02-04,INSERT,2024-02-29,B,13,2024-02-02,2024-03-02 09:00:00
62,FileC,2024-02-16,INSERT,2024-02-29,B,76,2024-02-16,2024-03-02 09:00:00
63,FileC,2024-02-28,INSERT,2024-02-29,A,6,2024-01-24,2024-03-02 09:00:00
64,FileC,2024-02-14,INSERT,2024-02-29,C,11,2024-02-01,2024-03-02 09:00:00
65,FileC,2024-02-05,INSERT,2024-02-29,C,11,2024-01-25,2024-03-02 09:00:00
